ID	Zip	Age	Sex	Helsinki should be an example of reducing carbon dioxide emissions	Local wind power should be produced in Helsinki	Construction of wind turbines would have a positive impact on Helsinki's image.	Construction of wind turbines would have a positive impact on the landscape of Helsinki's.	How often do you spend your free time on the shores of Helsinki?	How often do you spend your free time at the waters of Helsinki?	What do you feel if wind turbines would be visible to sea lanes that approach Helsinki?	What do you feel if wind turbines could be seen from the ramparts of Suomenlinna?	What do you feel if wind turbines would be built at the port and power plant areas of Helsinki?	What do you feel if wind turbines would be built on the landfills (Malminkartano tai vuosaari) of Helsinki?	What do you feel if wind turbines would be built at the outer territorial waters (8-10 km from the coastline) of Helsinki?	What do you feel if wind turbines would be built at the inner archipelago (4-5 km from coastline) of Helsinki?	What do you feel if wind turbines would be built at shores (1-2 km from coastline) of Helsinki?	I would like to influence the placement of wind turbines in Helsinki	I would like to buy local wind power in Helsinki, even if cheaper electricity would be available from elsewhere	I would like to participate in the construction of wind power as an investor (eg funds, shareholdings).
596	ZIP_00780	38	m	2	2	2	-1	1	1	2	1	2	1	2	1	1	2	1	2
597	ZIP_00120	30	m	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	0
598	ZIP_00500	30	m	2	2	2	2	3	1	2	2	2	2	2	2	2	1	2	-1
599	ZIP_00610	50	m	2	2	2	1	2	1	2	2	2	2	1	1	1	1	1	-1
600	ZIP_00730	55	n	2	1	1	-1	1	1	1	1	2	1	1	1	-1	0	0	0
601	ZIP_00400	28	m	-2	-2	-2	-2	2	0	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
602	ZIP_00200	22	m	2	2	2	2	4	2	2	2	2	2	2	2	1	2	1	1
603	ZIP_00350	63	n	2	2	2	2	2	1	2	2	2	2	2	2	2	0	2	1
604	ZIP_00550	30	n	2	2	2	-1	4	1	2	2	2	2	2	1	1	1	2	-1
605	ZIP_00270	47	n	2	2	2	1	3	2	2	2	2	2	2	2	2	1	2	-1
606	ZIP_00560	30	m	2	2	2	1	4	1	2	1	-2	-1	2	2	-1	2	2	1
607	ZIP_00180	32	n	2	-2	-2	-2	3	2	0	-2	-2	1	-1	-1	-2	2	-2	-2
608	ZIP_00810	35	m	2	2	2	2	4	3	2	2	2	2	2	2	2	2	1	2
609	ZIP_00720	60	m	-2	-2	-2	-2	3	1	-2	-2	-1	-2	-2	-2	-2	2	-2	-2
610	ZIP_00270	19	n	2	2	2	2	4	1	2	2	2	2	2	2	2	0	2	0
611	ZIP_01690	36	m	2	2	2	2	1	0	2	2	2	2	2	1	-1	0	1	1
612	ZIP_00420	33	m	-2	-2	-1	-2	2	2	-2	-2	-1	-2	-1	-1	-1	2	-2	-2
613	ZIP_00790	26	n	2	2	2	1	1	1	2	2	2	2	2	1	1	2	2	1
614	ZIP_00520	27	n	2	2	2	2	3	2	2	2	2	2	2	2	1	2	2	2
615	ZIP_00610	36	n	2	2	2	0	3	2	1	0	2	2	1	1	0	2	2	2
616	ZIP_00760	48	m	2	2	2	2	1	1	2	2	2	2	2	2	1	1	2	2
617	ZIP_00400	71	m	-2	-2	-2	-2	2	0	-1	-2	-2	-2	-1	-1	-1	2	-2	-2
618	ZIP_00350	25	n	-2	-2	-2	-2	2	1	-2	-2	0	-1	-1	-2	-2	2	-2	-2
619	ZIP_00100	29	n	1	1	2	2	3	2	2	2	2	-1	-2	-2	-1	2	2	2
620	ZIP_00240	29	n	2	2	2	1	3	1	2	2	2	2	1	2	2	-1	2	1
621	ZIP_00920	35	m	2	2	2	1	3	1	2	2	2	2	2	1	1	1	1	-1
622	ZIP_00950	60	m	2	2	2	-1	4	1	2	2	2	1	2	2	-2	1	2	2
623	ZIP_00440	35	x	2	2	2	2	1	1	2	2	2	2	2	2	2	-1	2	1
624	ZIP_00150	29	m	2	2	2	2	4	4	2	2	2	2	2	2	2	2	2	2
625	ZIP_00100	59	m	2	2	2	2	2	0	2	2	2	2	2	1	1	0	2	2
626	ZIP_00400	22	n	2	1	1	1	3	1	2	2	2	1	2	1	1	1	2	0
627	ZIP_01620	40	x	2	2	2	2	3	1	2	2	2	2	2	2	2	1	1	1
628	ZIP_65170	29	m	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	0
629	ZIP_00560	30	n	2	2	2	2	3	1	2	-1	2	2	2	1	1	1	1	0
630	ZIP_00130	30	m	-2	-2	-2	-2	4	4	-2	-2	-2	-2	-2	-2	2	2	-2	-2
631	ZIP_00120	40	m	2	2	2	2	1	1	2	2	2	2	2	2	2	1	2	-1
632	ZIP_00180	34	n	2	2	2	1	4	1	2	2	2	2	2	1	2	1	0	0
633	ZIP_00190	28	n	2	2	2	2	4	4	2	-1	2	2	2	0	1	0	2	1
634	ZIP_00410	25	m	2	2	2	-2	2	0	1	1	2	2	1	-1	-1	1	-1	-2
635	ZIP_00520	23	n	2	1	2	2	1	1	2	1	2	2	2	1	1	1	2	-1
636	ZIP_00180	40	m	2	2	2	2	3	1	2	2	2	2	2	2	2	0	2	1
637	ZIP_00800	33	m	2	2	2	2	2	1	2	2	2	2	2	2	2	-1	2	1
638	ZIP_00530	29	m	2	2	2	2	4	1	2	2	2	2	2	2	2	1	2	1
639	ZIP_02730	41	n	2	2	2	-1	3	2	1	2	2	2	2	1	1	-2	2	-1
640	ZIP_00620	21	n	2	2	2	1	3	1	2	1	2	1	2	1	1	1	1	1
641	ZIP_00100	57	n	2	2	2	1	2	1	2	-1	2	2	2	1	1	-1	2	1
642	ZIP_00560	31	m	2	2	2	1	4	2	2	2	2	1	2	1	1	-1	2	1
643	ZIP_00120	46	m	2	2	2	2	4	4	2	2	2	2	2	2	2	2	2	0
644	ZIP_00640	53	m	2	2	2	2	3	1	2	2	2	2	2	2	2	-2	2	2
645	ZIP_00200	57	m	2	2	2	2	4	2	2	2	2	2	2	2	1	2	2	2
646	ZIP_00550	33	x	2	1	1	0	3	2	1	0	1	2	2	1	1	1	0	-1
647	ZIP_00120	19	m	2	2	2	1	2	1	2	2	2	2	2	2	2	0	1	1
648	ZIP_19210	57	m	-2	-2	-2	-2	1	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2
649	ZIP_00920	26	m	2	2	2	1	3	1	2	1	2	2	2	2	1	1	-1	0
650	ZIP_00840	65	n	1	1	1	-1	4	1	1	1	1	1	1	1	1	0	0	1
651	ZIP_00960	35	m	2	2	2	-1	1	1	1	-2	1	2	-1	-1	-1	2	1	1
652	ZIP_00100	10	m	-2	-2	-2	-2	1	1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2
653	ZIP_00530	47	m	2	2	2	-1	3	1	1	1	2	1	2	-1	1	1	-1	-2
654	ZIP_00800	33	m	2	2	2	1	3	1	1	-1	2	1	2	1	-1	1	2	2
655	ZIP_10500	65	m	-1	-2	-2	-2	1	1	-2	-2	-1	-2	-1	-2	-2	2	-2	-2
656	ZIP_00770	24	n	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	0
657	ZIP_00810	32	n	2	-1	-1	-1	4	3	1	-1	1	-1	2	-1	-2	2	-1	-2
658	ZIP_00640	47	m	2	2	2	-1	4	1	2	2	2	2	2	2	1	1	2	-1
659	ZIP_00220	34	n	2	1	1	0	2	0	1	-1	1	1	1	1	1	0	1	-2
660	ZIP_01600	24	m	2	2	2	2	4	4	2	2	2	2	2	2	2	2	2	2
661	ZIP_00530	39	m	2	2	2	1	3	1	2	1	2	2	2	1	1	1	1	1
662	ZIP_00510	27	n	2	2	2	2	2	1	2	2	2	2	2	2	2	-1	2	1
663	ZIP_00790	31	m	2	2	2	2	4	1	1	1	2	2	2	1	1	1	1	-1
664	ZIP_00950	19	m	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	0
665	ZIP_00240	24	n	2	2	-1	1	3	0	2	1	2	2	2	2	1	2	2	-1
666	ZIP_00830	55	n	2	2	2	2	4	1	2	2	2	2	2	2	2	2	2	1
667	ZIP_00990	62	n	2	2	2	2	4	1	2	2	2	2	2	2	2	1	1	-1
668	ZIP_00150	36	n	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1
669	ZIP_00730	30	n	2	1	2	1	1	1	2	1	2	2	2	1	1	-1	0	0
670	ZIP_00750	19	m	1	1	1	-1	2	1	1	1	2	1	2	1	1	1	1	2
671	ZIP_00150	46	m	1	-1	-1	-2	4	3	-2	-2	-2	-1	1	-2	-2	2	1	1
672	ZIP_00010	23	m	-2	1	-2	-2	4	1	-2	-2	-2	-2	1	-2	-2	2	-2	-2
673	ZIP_00790	23	n	2	2	2	2	4	1	2	2	2	2	2	2	2	-1	1	1
674	ZIP_00530	32	m	1	1	-1	1	1	0	1	1	1	1	2	1	1	1	-2	1
675	ZIP_00940	37	n	2	2	2	2	2	0	2	2	2	2	2	2	1	-1	2	-1
676	ZIP_00750	58	m	2	2	2	1	2	1	2	2	2	2	2	2	2	1	2	1
677	ZIP_02150	58	x	-2	-2	-2	-2	1	1	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
678	ZIP_00790	34	m	2	1	1	1	3	1	2	1	2	-2	2	1	-2	1	-2	-1
679	ZIP_00330	52	x	2	2	2	2	4	1	2	2	2	2	2	2	1	2	2	-1
680	ZIP_00550	25	m	2	-2	-2	-2	2	1	-2	-2	-1	-2	-2	-2	-2	0	-2	-2
681	ZIP_00120	60	m	2	2	2	2	3	3	2	2	2	2	2	2	2	1	2	-2
682	ZIP_00320	27	n	2	2	2	1	4	3	2	2	2	2	2	1	-1	2	2	-2
683	ZIP_02400	42	m	2	2	1	-1	0	0	2	2	1	2	2	1	-2	1	-2	-2
684	ZIP_00510	41	n	1	-1	-1	-2	3	1	-1	-2	-2	-2	1	-2	-2	2	-1	-2
685	ZIP_00520	35	n	2	2	2	1	4	1	2	2	2	2	2	1	1	2	2	0
686	ZIP_00101	28	m	2	-2	-2	-2	0	0	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
687	ZIP_01280	50	n	2	2	2	2	4	1	2	2	2	2	2	2	2	2	2	2
688	ZIP_00560	66	m	2	2	1	1	2	1	2	1	2	1	1	-1	-1	1	1	0
689	ZIP_00440	26	n	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1
690	ZIP_00120	30	n	2	2	2	2	3	0	2	2	2	2	2	2	1	1	2	1
691	ZIP_00530	41	n	2	2	2	2	4	1	2	2	2	2	2	2	2	2	2	2
692	ZIP_00810	38	m	-2	2	2	2	4	1	2	2	2	2	2	2	2	2	2	2
693	ZIP_00930	52	m	1	1	1	1	4	1	1	1	-1	1	1	-1	-2	2	1	1
694	ZIP_00990	58	n	2	2	2	2	4	1	1	1	2	1	2	-1	1	1	1	-1
695	ZIP_00100	60	m	-1	-2	-1	-2	2	1	0	-1	-1	-1	0	-1	-2	2	-2	-2
696	ZIP_00100	45	m	-2	-2	-1	-2	2	1	-2	-2	-1	-2	-1	-2	-2	2	-2	-2
697	ZIP_00550	36	m	2	2	2	2	2	1	2	2	2	1	2	2	2	1	2	2
698	ZIP_36220	49	n	1	1	1	-1	1	1	2	1	1	1	-1	1	-1	1	-1	0
699	ZIP_00730	19	m	2	2	2	0	1	1	1	1	2	2	1	1	1	-1	0	1
700	ZIP_00280	41	n	2	2	2	1	3	1	2	1	2	2	2	1	-1	1	2	0
701	ZIP_00350	40	n	2	2	2	2	4	3	2	2	2	2	2	1	2	-1	2	2
702	ZIP_00800	39	m	2	2	2	-1	3	1	1	1	2	2	2	1	1	2	1	2
703	ZIP_00320	28	m	2	2	2	1	4	1	2	2	2	2	2	2	2	2	2	2
704	ZIP_90570	20	n	2	2	2	2	1	1	2	1	2	2	2	2	2	-1	2	0
705	ZIP_00850	45	m	2	2	2	2	4	1	2	2	2	2	2	2	2	2	2	2
706	ZIP_00790	30	n	2	2	2	1	2	1	1	1	2	1	2	0	0	1	0	0
707	ZIP_01120	42	m	2	2	2	1	1	0	2	2	1	1	2	1	1	1	1	-1
708	ZIP_00740	44	m	2	2	2	1	2	0	2	2	1	1	2	1	1	1	1	-1
709	ZIP_00910	57	m	-2	-2	-2	-2	4	1	0	-1	-2	-1	2	-1	-2	2	-2	-2
710	ZIP_00510	31	n	2	2	2	1	3	1	2	2	2	2	2	2	2	-1	2	0
711	ZIP_00790	65	n	1	-2	-2	-2	4	1	-1	-2	-1	-2	-2	-2	-2	2	-2	-2
712	ZIP_00440	32	m	2	2	2	2	2	0	2	2	2	1	2	1	-1	1	-1	1
713	ZIP_dBPCC		m	2	-2	-2	-2	4	1	-2	-2	-2	-2	-2	-2	-2	1	-2	-2
714	ZIP_00790	17	n	2	-2	-2	-2	4	1	2	2	2	2	2	2	2	1	1	-1
715	ZIP_02210	15	n	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	0
716	ZIP_00980	34	m	2	2	2	-1	3	3	1	1	2	-2	2	1	-2	2	1	1
717	ZIP_02160	48	m	2	2	2	2	0	1	2	2	2	2	2	2	2	2	2	2
718	ZIP_00370	20	m	2	2	2	2	3	1	2	2	2	2	2	2	2	-2	2	-2
719	ZIP_00500	42	m	2	2	2	1	3	2	2	2	2	2	2	1	1	0	2	0
720	ZIP_00630	16	n	2	2	2	1	3	1	2	1	2	2	2	2	2	1	2	1
721	ZIP_00630	31	m	2	2	2	-1	3	1	2	1	2	2	2	2	2	-2	2	2
722	ZIP_00120	30	m	2	2	2	2	4	3	2	2	2	2	2	2	1	2	2	2
723	ZIP_00180	31	n	2	2	2	1	4	1	2	1	2	0	2	1	2	1	1	0
724	ZIP_01810	18	n	2	2	2	1	1	1	2	2	2	2	2	1	1	-1	2	1
725	ZIP_00120	45	m	2	2	2	2	4	4	2	2	2	-2	-2	2	2	2	2	2
726	ZIP_00120	32	n	2	2	2	2	4	4	2	2	2	-2	-2	-2	2	2	2	2
727	ZIP_00500	42	n	2	2	2	1	2	1	1	1	1	0	2	1	0	1	2	0
728	ZIP_00140	74	m	1	-1	-1	-2	1	1	-1	-1	-1	-1	-1	-1	-1	0	0	-2
729	ZIP_00510	32	m	2	1	2	2	2	1	2	2	2	2	2	2	2	-1	1	0
730	ZIP_02340	27	m	2	2	2	1	1	1	2	2	2	2	2	2	1	-1	1	-1
731	ZIP_00940	59	n	2	2	2	2	4	1	1	1	2	1	1	1	1	1	1	-1
732	ZIP_00530	32	m	2	2	2	1	3	1	2	1	2	0	2	1	-1	2	2	0
733	ZIP_00120	48	m	2	2	2	1	4	3	2	2	1	2	2	-1	-1	2	1	1
734	ZIP_00350	24	n	2	2	2	2	4	2	2	2	2	1	2	1	1	2	2	1
735	ZIP_00870	31	m	2	2	2	2	4	1	2	2	2	2	2	2	2	2	2	1
736	ZIP_00980	28	m	2	2	2	2	4	2	2	2	2	1	2	2	1	2	1	-1
737	ZIP_10960	45	x	2	1	2	1	3	2	2	1	1	1	1	1	2	0	2	1
738	ZIP_00550	25	n	2	1	2	-1	3	1	1	1	2	2	2	-1	-1	1	1	1
739	ZIP_00260	37	n	2	2	2	2	4	1	2	2	2	2	2	1	1	-1	2	2
740	ZIP_00260	47	n	2	2	2	2	3	2	2	2	2	2	2	2	2	1	2	2
741	ZIP_04220	65	n	2	2	2	-1	4	0	1	1	2	2	2	2	1	2	-1	-2
742	ZIP_00960	36	n	2	2	2	1	3	1	2	2	2	2	2	2	2	1	2	1
743	ZIP_00770	41	n	2	1	1	1	4	1	2	1	2	2	1	1	1	0	2	1
744	ZIP_00920	44	n	2	2	2	2	4	3	2	2	2	2	2	2	2	2	2	1
745	ZIP_00720	33	m	2	2	2	2	4	3	2	2	2	2	2	2	2	-1	2	2
746	ZIP_00140	60	n	2	2	2	1	3	1	2	2	2	2	2	1	1	2	0	1
747	ZIP_90530	51	m	-2	2	-1	-2	0	0	1	-2	0	1	1	-1	-2	-1	-2	-2
748	ZIP_80100	37	n	2	2	2	2	1	1	1	1	1	1	1	1	1	-2	1	-2
749	ZIP_02780	43	m	2	1	2	1	1	0	2	2	1	2	2	1	1	-1	2	1
750	ZIP_00190	35	m	2	-2	-2	-2	3	3	-2	-2	-2	1	-2	-2	-2	2	-2	-2
751	ZIP_00820	32	m	2	2	2	2	4	0	2	2	2	2	2	2	2	1	2	1
752	ZIP_00200	27	n	2	2	2	1	4	0	2	1	2	2	2	1	-1	1	2	0
753	ZIP_00100	36	m	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2
754	ZIP_00800	56	n	2	2	2	-1	3	1	1	-1	2	1	2	-1	-1	2	1	0
755	ZIP_23450	60	m	2	2	2	2	0	0	2	2	2	2	-2	2	2	2	-2	-2
756	ZIP_00750	51	m	2	2	2	1	3	1	2	2	1	1	2	1	1	1	-1	-1
757	ZIP_00280	40	n	2	2	2	2	3	2	1	1	1	1	-1	1	-1	2	0	0
758	ZIP_00510	34	n	2	2	2	2	4	1	2	2	2	2	1	1	-1	1	2	1
759	ZIP_00500	33	m	2	2	2	2	4	1	2	2	2	2	2	2	2	-1	1	0
760	ZIP_00840	67	m	-2	-2	-2	-2	4	1	-2	-2	-2	-2	-1	-2	-2	2	-2	-1
761	ZIP_00620	37	m	2	2	2	1	3	1	2	2	2	2	2	2	2	2	2	2
762	ZIP_00420	31	m	-2	1	-1	-2	3	1	1	-2	2	-1	1	1	1	1	-1	-2
763	ZIP_00120	30	n	2	-2	2	2	4	1	2	2	2	2	2	2	2	-1	1	-1
764	ZIP_00330	53	n	-1	-2	-2	-2	4	4	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
765	ZIP_00560	46	m	1	-1	1	0	4	1	1	0	-2	-1	1	-2	-2	2	-2	-1
766	ZIP_01600	22	m	2	2	2	2	1	0	2	2	2	2	2	2	2	-1	2	2
767	ZIP_00790	40	n	2	2	1	-1	1	1	1	1	2	1	1	1	1	1	2	-1
768	ZIP_00330	50	n	2	2	2	1	4	3	1	1	2	2	1	1	0	0	2	1
769	ZIP_00720	36	m	2	2	2	2	2	1	2	2	2	2	1	1	2	2	2	0
770	ZIP_00820	35	m	2	2	2	1	4	1	2	-1	2	2	2	2	2	1	2	1
771	ZIP_00640	65	m	2	2	2	1	1	0	2	1	2	2	2	2	1	1	2	-1
772	ZIP_00530	59	m	2	2	2	1	4	4	2	2	1	2	2	1	0	2	2	1
773	ZIP_00920	33	m	2	2	2	2	3	0	2	1	2	2	2	1	1	0	0	1
774	ZIP_00100	32	m	-2	-2	-2	-2	4	3	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2
775	ZIP_00120	25	m	2	2	0	0	0	0	0	0	2	2	2	1	-1	-2	-2	-2
776	ZIP_00150	62	m	2	2	2	1	4	1	-1	-2	1	2	2	1	-2	1	1	1
777	ZIP_00330	56	n	2	-2	-2	-2	3	1	-2	-2	-2	-2	-1	-2	-2	2	-2	-2
778	ZIP_00670	42	x	2	2	2	-1	3	2	1	1	-1	1	2	-1	-1	-1	1	-2
779	ZIP_01370	23	n	2	2	1	1	1	0	2	-1	2	2	1	1	1	2	1	-1
780	ZIP_00200	55	n	2	1	2	1	2	1	1	1	2	2	2	1	1	-1	1	-1
781	ZIP_00730	45	m	2	2	2	1	1	1	2	-2	2	1	2	2	1	2	1	1
782	ZIP_01800	22	m	-2	-2	-2	-2	4	4	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2
783	ZIP_00350	33	m	2	-2	-2	-2	4	2	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
784	ZIP_00140	39	m	1	-2	-2	-2	4	2	-2	-2	-2	-1	-2	-2	-2	2	-2	-2
785	ZIP_00210	41	m	2	2	2	-1	4	3	1	1	1	2	2	1	-1	2	-2	-1
786	ZIP_00970	58	m	1	2	1	1	3	1	1	1	2	1	2	2	2	1	1	1
787	ZIP_00180	42	m	1	1	2	1	4	1	1	1	-2	1	2	-1	-2	2	2	1
788	ZIP_00820	65	n	2	2	2	2	4	1	2	2	2	2	2	2	2	0	1	-2
789	ZIP_00200	28	m	2	-2	-1	-2	4	4	-2	-2	-2	1	-1	-2	-2	0	-2	-2
790	ZIP_00980	34	m	2	2	2	1	4	3	2	2	2	2	2	2	2	2	1	1
791	ZIP_00740	51	m	2	2	2	1	1	1	2	1	2	2	1	1	2	1	2	1
792	ZIP_00940	43	n	1	-2	-2	-2	3	1	-2	-2	-2	-2	1	1	-2	2	-2	-2
793	ZIP_00250	61	m	1	2	2	1	3	1	2	2	1	2	2	1	-1	2	1	1
794	ZIP_00330	58	m	-2	-2	-2	-2	4	2	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
795	ZIP_00380	72	m	-2	-2	-2	-2	3	0	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
796	ZIP_00100	38	m	-2	-2	-2	-2	4	4	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
797	ZIP_00610	40	n	2	2	2	2	4	1	2	2	2	2	2	1	1	1	2	2
798	ZIP_00740	43	n	2	2	2	1	1	1	1	2	2	2	2	1	2	1	2	-1
799	ZIP_00630	25	m	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	1
800	ZIP_00120	26	m	2	2	2	2	3	1	1	1	2	2	2	1	1	1	1	-1
801	ZIP_00270	32	n	2	1	2	2	4	1	2	2	2	2	2	2	1	-1	2	2
802	ZIP_00640	52	m	2	2	2	1	3	1	2	1	2	-1	1	-1	-1	2	2	1
803	ZIP_00200	38	m	2	2	2	2	4	3	2	2	2	2	2	2	2	2	1	1
804	ZIP_00920	53	m	1	1	1	-2	3	3	1	1	-2	-2	1	-1	-2	2	-1	-1
805	ZIP_02100	58	m	-1	1	1	-2	4	4	-1	-2	-1	-1	1	-2	-2	2	-2	-2
806	ZIP_00250	40	m	1	1	1	-1	3	1	1	-1	1	1	1	-1	1	1	1	1
807	ZIP_00100	66	m	-2	-2	-2	-2	3	3	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
808	ZIP_00560	28	n	2	2	2	2	3	1	2	2	2	2	2	2	1	1	2	1
809	ZIP_00650	32	m	2	2	2	2	3	3	2	2	2	2	2	1	1	1	2	1
810	ZIP_00530	30	x	2	2	2	2	4	1	2	2	2	2	2	2	2	2	2	1
811	ZIP_00930	71	m	-2	-2	-2	-2	3	1	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
812	ZIP_01710	41	m	2	2	2	1	1	0	2	1	2	2	2	2	1	2	2	2
813	ZIP_33250	36	m	2	2	2	2	4	4	2	2	2	2	2	2	2	2	2	2
814	ZIP_02620	77	m	-2	1	0	0	0	0	-2	-2	-1	1	-2	-2	-2	2	-1	-1
815	ZIP_00610	32	m	2	2	2	2	2	1	2	2	2	2	0	1	2	1	2	1
816	ZIP_00820	46	n	2	2	2	2	4	2	2	2	2	-1	2	1	-2	1	2	1
817	ZIP_00120	31	m	2	2	2	2	4	4	2	2	2	2	2	2	2	2	2	2
818	ZIP_00120	45	m	2	2	2	2	4	2	2	2	2	-1	1	1	1	2	2	-1
819	ZIP_00420	66	m	-2	-2	-2	-2	3	2	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
820	ZIP_00800	35	m	2	2	2	1	2	1	1	-1	2	2	2	1	1	1	2	1
821	ZIP_00550	17	n	2	2	2	1	4	1	1	1	2	2	2	1	1	0	2	0
822	ZIP_02750	29	n	2	2	2	-1	3	2	1	1	1	2	1	1	1	2	2	1
823	ZIP_00320	29	n	2	2	2	2	2	1	2	1	1	2	2	1	1	-1	2	-1
824	ZIP_00610	32	m	2	2	2	1	4	2	2	1	2	1	1	1	1	-2	2	1
825	ZIP_00610	40	m	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2
826	ZIP_00970	55	m	-2	-2	-2	-2	4	1	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
827	ZIP_00730	50	m	1	2	2	1	1	0	2	1	2	2	2	1	1	1	1	1
828	ZIP_01280	25	n	2	2	2	1	2	1	1	1	2	1	2	1	1	1	1	0
829	ZIP_00580	43	m	2	1	1	2	3	1	2	1	2	2	2	1	-1	2	1	1
830	ZIP_00980	36	n	2	2	2	2	4	1	2	2	2	2	2	2	2	2	2	-1
831	ZIP_00980	25	n	2	2	2	1	4	1	2	2	2	2	2	2	2	1	2	1
832	ZIP_00350	65	m	-1	-2	-1	-2	4	3	-2	-2	1	-1	-2	-2	-2	1	-2	-2
833	ZIP_00170	26	m	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2
834	ZIP_00200	47	n	0	1	1	-1	4	3	1	1	-1	1	1	-2	-2	0	-1	-1
835	ZIP_00440	48	m	1	1	2	-2	3	1	2	1	-1	1	2	1	2	0	0	1
836	ZIP_00120	54	m	2	2	2	2	4	1	2	2	2	2	2	2	2	2	2	2
837	ZIP_00640	25	n	-2	-2	-2	-2	4	1	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
838	ZIP_02330	36	m	-1	-2	-2	-2	3	1	1	1	1	1	-2	-1	-1	1	-2	-2
839	ZIP_00580	21	n	2	2	2	2	4	1	2	2	2	2	2	1	-1	2	2	1
840	ZIP_00180	44	m	2	2	2	2	4	2	2	1	2	1	2	2	1	1	2	2
841	ZIP_00150	72	n	2	2	2	1	4	1	1	1	0	1	2	1	1	0	1	-2
842	ZIP_00550	29	n	2	2	2	2	3	0	2	2	2	2	2	2	2	1	2	1
843	ZIP_00560	50	n	2	2	2	1	1	1	2	1	2	2	2	-1	-1	2	2	1
844	ZIP_00560	31	m	2	2	2	1	3	3	1	1	2	2	2	2	1	-1	2	0
845	ZIP_00500	70	m	-1	-2	0	-2	3	1	-1	-2	-2	-2	-2	-2	-2	2	-2	-2
846	ZIP_00510	28	m	2	2	2	2	3	1	2	1	2	2	2	1	1	2	0	1
847	ZIP_00100	36	m	-2	-2	-2	-2	4	3	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
848	ZIP_00520	35	m	2	2	2	1	3	0	1	1	2	1	2	2	2	1	2	-1
849	ZIP_00920	35	n	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
850	ZIP_00370	72	n	2	2	2	2	3	1	2	2	2	2	2	2	1	1	2	-1
851	ZIP_00620	25	m	2	2	2	1	2	1	2	1	2	-1	2	1	-1	1	-1	1
852	ZIP_00100	42	m	1	1	-2	-2	1	1	-1	-1	0	0	-1	-1	-1	1	-2	-2
853	ZIP_00150	22	n	2	2	2	1	2	1	1	0	0	1	2	2	-1	0	0	-1
854	ZIP_00530	25	m	2	1	1	1	1	0	1	-1	2	2	2	-1	-1	1	-1	-2
855	ZIP_00610	27	n	1	-1	-2	-2	3	1	-1	-2	-1	1	1	-1	-2	1	-1	-2
856	ZIP_33720	23	m	2	2	2	2	0	0	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
857	ZIP_00170	27	m	2	2	2	1	2	1	2	2	2	2	2	2	2	1	2	2
858	ZIP_00130	27	n	2	2	2	2	3	1	2	2	2	2	2	2	2	-1	1	-2
859	ZIP_00990	60	n	2	2	2	2	4	1	2	2	2	2	2	2	2	2	1	1
860	ZIP_00102	36	m	-2	-2	-2	-2	4	2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2
861	ZIP_00950	30	n	2	2	2	2	3	1	2	2	2	2	2	2	1	1	1	-2
862	ZIP_00850	47	n	2	2	2	1	4	1	1	1	1	1	1	1	1	1	1	0
863	ZIP_00420	22	m	2	2	2	-1	1	0	1	1	2	2	2	2	2	2	1	0
864	ZIP_00440	68	m	2	1	2	-1	3	1	-1	-1	1	1	2	-1	-2	2	-1	-2
865	ZIP_60550	14	m	2	2	0	2	0	0	2	1	2	2	2	2	2	2	2	2
866	ZIP_15100	26	m	2	2	2	2	1	1	2	2	2	2	2	2	2	2	1	1
867	ZIP_00530	49	m	2	1	2	-1	4	1	2	1	-1	-2	2	1	-2	1	1	1
868	ZIP_37630	37	m	2	2	2	2	1	1	2	2	2	2	2	2	2	0	0	0
869	ZIP_00200	30	n	2	1	2	1	4	1	1	1	2	1	2	1	1	2	2	1
